time ax ay az
618675731510487 12.941282 7.618149 0.853041 
618675751534758 12.603595 7.622935 0.999003 
618675771557050 12.335299 7.730612 1.114158 
618675791581321 12.078969 7.795517 1.013360 
618675811592987 11.791531 7.805089 1.118944 
618675831617258 11.223834 7.481459 1.494916 
618675851640540 10.284651 7.007381 1.940579 
618675871664810 8.938389 6.643074 2.182553 
618675891692102 7.340582 6.480362 2.364408 
618675911716373 6.384948 6.111269 2.716751 
618675931739915 5.440979 5.670691 2.668895 
618675951764185 4.156931 5.294419 2.414956 
618675971799758 2.774777 4.944768 1.871187 
618675991824029 1.014258 4.693223 1.736890 
618676011812727 -0.605085 4.583153 2.182553 
618676031836998 -1.723730 3.974478 2.568097 
618676051899029 -3.103790 3.679862 2.520241 
618676071923300 -4.438088 4.118347 2.402992 
618676091944029 -5.230711 4.427320 2.235195 
618676111968248 -5.863313 4.494319 2.316551 
618676131995852 -7.003493 4.537689 2.410171 
618676152020123 -8.661120 4.216453 1.887937 
618676172042467 -10.151251 3.871587 2.383850 
618676192066737 -11.818450 3.548257 3.425625 
618676212088300 -12.831811 3.267998 4.357629 
618676232112571 -12.608979 3.462115 5.354240 
618676252126685 -12.237494 3.761517 5.840282 
618676272150904 -12.443575 3.850052 5.399704 
618676292188092 -12.117852 4.063312 5.095516 
618676312212362 -10.639985 4.590331 5.656034 
618676332240383 -9.973883 4.817948 5.660820 
618676352264602 -10.115358 4.887340 4.767101 
618676372283873 -10.120144 4.939982 3.928716 
618676392308144 -10.199107 4.983053 3.497709 
618676412329810 -10.778769 4.841877 3.042474 
618676432354081 -11.384751 4.669294 2.903391 
618676452366529 -11.442478 4.520939 3.262913 
618676472390800 -10.977672 4.695615 3.813860 
618676492427362 -10.285249 4.999803 3.902395 
618676512451633 -9.082855 5.340182 4.060620 
618676532473769 -7.908877 5.859724 4.302594 
618676552498040 -7.353144 6.183353 3.557529 
618676572504654 -6.210571 6.207281 3.128616 
618676592528873 -3.963711 6.106483 3.758825 
618676612572623 -2.169393 6.130412 3.811467 
618676632596894 -1.529911 6.044270 2.688037 
618676652611165 -1.081855 5.723333 0.991825 
618676672635435 0.190229 5.421538 0.596710 
618676692665800 1.500300 5.294419 1.332204 
618676712690071 2.528017 4.904090 1.739283 
618676732691737 3.531806 4.300500 2.141875 
618676752716008 5.232505 4.348357 2.762215 
618676772767623 6.399305 4.762614 1.993221 
618676792791894 5.680561 3.940979 0.002692 
618676812814290 6.217152 2.807977 -0.098106 
618676832838560 9.410374 4.036991 2.558526 
618676852836998 11.575878 5.565107 3.488137 
