r0,p0,y0,r1,p1,y1,r2,p2,y2,r3,p3,y3,r4,p4,y4,r5,p5,y5,r6,p6,y6,r7,p7,y7,r8,p8,y8,r9,p9,y9,r10,p10,y10,r11,p11,y11,r12,p12,y12,r13,p13,y13,r14,p14,y14,r15,p15,y15,r16,p16,y16,r17,p17,y17,r18,p18,y18,r19,p19,y19,target
-0.538966,0.006325,-1.177850,-0.538821,0.006348,-1.177885,-0.538668,0.006375,-1.177953,-0.538529,0.006402,-1.177997,-0.538394,0.006438,-1.178059,-0.538278,0.006479,-1.178119,-0.538150,0.006523,-1.178212,-0.538020,0.006577,-1.178276,-0.537876,0.006644,-1.178309,-0.537740,0.006718,-1.178367,-0.537600,0.006805,-1.178383,-0.537482,0.006897,-1.178427,-0.537387,0.006992,-1.178548,-0.537314,0.007103,-1.178568,-0.537280,0.007223,-1.178728,-0.537273,0.007348,-1.178743,-0.537282,0.007472,-1.178935,-0.537273,0.007581,-1.178932,-0.537289,0.007670,-1.179030,-0.537298,0.007765,-1.179005,0
-0.537383,0.008158,-1.179356,-0.537422,0.008250,-1.179590,-0.537444,0.008333,-1.179627,-0.537458,0.008410,-1.179872,-0.537487,0.008476,-1.179930,-0.537513,0.008549,-1.180201,-0.537525,0.008617,-1.180287,-0.537526,0.008678,-1.180578,-0.537500,0.008740,-1.180662,-0.537459,0.008807,-1.180894,-0.537403,0.008892,-1.180954,-0.537346,0.008988,-1.181164,-0.537321,0.009102,-1.181190,-0.537334,0.009227,-1.181363,-0.537385,0.009373,-1.181358,-0.537461,0.009530,-1.181503,-0.537539,0.009697,-1.181458,-0.537620,0.009868,-1.181582,-0.537678,0.010030,-1.181488,-0.537723,0.010194,-1.181575,0
-0.537867,0.010878,-1.181186,-0.537945,0.010926,-1.181101,-0.538066,0.010931,-1.181232,-0.538205,0.010910,-1.181163,-0.538380,0.010837,-1.181169,-0.538593,0.010752,-1.181104,-0.538839,0.010655,-1.181228,-0.539112,0.010549,-1.181180,-0.539387,0.010436,-1.181286,-0.539666,0.010287,-1.181247,-0.539957,0.010116,-1.181355,-0.540246,0.009930,-1.181318,-0.540536,0.009720,-1.181412,-0.540771,0.009523,-1.181381,-0.540906,0.009354,-1.181470,-0.540972,0.009173,-1.181431,-0.541018,0.008971,-1.181550,-0.541081,0.008778,-1.181499,-0.541179,0.008628,-1.181648,-0.541293,0.008512,-1.181647,0
-0.541352,0.007829,-1.181903,-0.541330,0.007721,-1.181949,-0.541324,0.007641,-1.181897,-0.541301,0.007557,-1.181910,-0.541256,0.007467,-1.181822,-0.541193,0.007397,-1.181900,-0.541116,0.007334,-1.181827,-0.541022,0.007285,-1.181821,-0.540938,0.007239,-1.181799,-0.540851,0.007201,-1.181722,-0.540765,0.007160,-1.181746,-0.540692,0.007133,-1.181816,-0.540614,0.007124,-1.181904,-0.540538,0.007104,-1.181993,-0.540422,0.007077,-1.182099,-0.540373,0.007048,-1.182349,-0.540368,0.007040,-1.182492,-0.540363,0.007051,-1.182756,-0.540326,0.007098,-1.182874,-0.540276,0.007164,-1.183107,0
-0.539748,0.007955,-1.183615,-0.539607,0.008113,-1.183598,-0.539450,0.008255,-1.183624,-0.539297,0.008403,-1.183561,-0.539145,0.008554,-1.183547,-0.538995,0.008708,-1.183481,-0.538847,0.008857,-1.183504,-0.538691,0.008999,-1.183452,-0.538518,0.009135,-1.183443,-0.538334,0.009261,-1.183400,-0.538152,0.009379,-1.183381,-0.537995,0.009502,-1.183373,-0.537852,0.009608,-1.183418,-0.537719,0.009708,-1.183437,-0.537600,0.009808,-1.183528,-0.537490,0.009879,-1.183581,-0.537387,0.009925,-1.183664,-0.537294,0.009968,-1.183733,-0.537225,0.009992,-1.183790,-0.537154,0.010027,-1.183878,0
-0.536889,0.010047,-1.184471,-0.536818,0.010030,-1.184593,-0.536725,0.010012,-1.184648,-0.536641,0.009997,-1.184809,-0.536573,0.009978,-1.184875,-0.536507,0.009968,-1.184974,-0.536453,0.009955,-1.185034,-0.536407,0.009929,-1.185080,-0.536370,0.009908,-1.185134,-0.536349,0.009886,-1.185039,-0.536335,0.009853,-1.185093,-0.536312,0.009822,-1.185160,-0.536296,0.009767,-1.185189,-0.536258,0.009713,-1.185150,-0.536220,0.009672,-1.185138,-0.536159,0.009637,-1.185105,-0.536076,0.009604,-1.185078,-0.535962,0.009595,-1.185048,-0.535861,0.009577,-1.184989,-0.535790,0.009563,-1.184890,0
-0.535518,0.009385,-1.184440,-0.535451,0.009301,-1.184374,-0.535380,0.009218,-1.184346,-0.535315,0.009133,-1.184298,-0.535248,0.009031,-1.184121,-0.535185,0.008932,-1.184074,-0.535137,0.008841,-1.183944,-0.535076,0.008743,-1.183909,-0.535055,0.008659,-1.183743,-0.535042,0.008587,-1.183736,-0.535053,0.008513,-1.183641,-0.535065,0.008467,-1.183633,-0.535079,0.008429,-1.183554,-0.535095,0.008406,-1.183524,-0.535107,0.008403,-1.183431,-0.535103,0.008417,-1.183372,-0.535092,0.008459,-1.183310,-0.535052,0.008513,-1.183188,-0.534985,0.008586,-1.183139,-0.534893,0.008633,-1.183044,0
-0.534045,0.008231,-1.182724,-0.533898,0.008064,-1.182703,-0.533761,0.007886,-1.182650,-0.533630,0.007698,-1.182648,-0.533514,0.007514,-1.182682,-0.533405,0.007327,-1.182688,-0.533303,0.007167,-1.182714,-0.533188,0.007015,-1.182716,-0.533068,0.006875,-1.182665,-0.532959,0.006748,-1.182634,-0.532869,0.006657,-1.182619,-0.532789,0.006579,-1.182593,-0.532702,0.006536,-1.182525,-0.532609,0.006514,-1.182506,-0.532517,0.006509,-1.182476,-0.532420,0.006520,-1.182476,-0.532323,0.006550,-1.182474,-0.532220,0.006592,-1.182493,-0.532100,0.006649,-1.182509,-0.531953,0.006700,-1.182528,0
-0.530857,0.006884,-1.182531,-0.530659,0.006905,-1.182570,-0.530476,0.006938,-1.182599,-0.530307,0.006967,-1.182611,-0.530169,0.007003,-1.182657,-0.530069,0.007049,-1.182696,-0.529999,0.007105,-1.182746,-0.529958,0.007165,-1.182782,-0.529940,0.007212,-1.182824,-0.529943,0.007230,-1.182846,-0.529971,0.007238,-1.182873,-0.530012,0.007233,-1.182879,-0.530076,0.007196,-1.182906,-0.530149,0.007159,-1.182906,-0.530234,0.007104,-1.182946,-0.530305,0.007031,-1.182983,-0.530338,0.006932,-1.183007,-0.530331,0.006826,-1.183085,-0.530303,0.006724,-1.183109,-0.530283,0.006610,-1.183194,0
-0.530204,0.006131,-1.183872,-0.530187,0.006117,-1.183977,-0.530155,0.006094,-1.184170,-0.530116,0.006085,-1.184266,-0.530071,0.006064,-1.184411,-0.530031,0.006036,-1.184484,-0.529985,0.006018,-1.184592,-0.529924,0.006007,-1.184651,-0.529855,0.006007,-1.184793,-0.529782,0.006025,-1.184841,-0.529697,0.006066,-1.184955,-0.529630,0.006102,-1.184991,-0.529542,0.006151,-1.185089,-0.529461,0.006215,-1.185113,-0.529382,0.006279,-1.185200,-0.529319,0.006336,-1.185216,-0.529266,0.006414,-1.185280,-0.529218,0.006478,-1.185297,-0.529172,0.006536,-1.185332,-0.529130,0.006586,-1.185333,0
