time ax ay az
2255956909763 -7.209575 -31.677383 40.177288
2255976929711 20.954247 -37.287354 75.153473
2255996951117 58.965431 -21.125334 74.346199
2256016969815 39.454357 -7.825428 4.450949
2256036991221 -12.225529 -4.742575 -23.291138
2256057015440 -3.664309 -1.079761 17.925531
2256077036846 12.500404 4.654937 27.567411
2256097029034 8.365906 4.290929 3.488137
2256117050388 4.839783 6.832406 -7.535896
2256137100284 2.300400 4.755436 0.311665
2256157121690 2.647957 1.504786 6.132505
2256177143044 1.078864 0.254537 5.651249
2256197164450 -1.865205 0.117847 2.577668
2256217173982 -3.309573 -0.720539 0.203689
2256237195388 -4.802096 -1.527817 -1.587937
2256257219138 -6.790233 -1.012762 -4.644469
2256277240544 -11.607583 -4.550849 -9.809377
2256297256013 -13.291532 -17.093727 -6.036493
2256317277419 -8.665906 -41.053059 14.330016
2256337305232 7.829316 -60.178593 55.450672
2256357326638 42.384068 -46.308895 78.914391
2256377357211 56.891151 -39.766918 61.115982
2256397378617 17.648264 -29.435009 -1.925624
2256417399398 -19.019350 -11.016256 -9.718150
2256437420805 1.562812 -3.257230 16.747066
2256457441325 13.789239 0.946660 8.743673
2256477462732 13.928322 4.978268 -5.434998
2256497485544 9.838987 6.748657 -10.575678
2256517506950 5.452944 5.639584 -12.458530
2256537514659 2.032105 4.341178 -10.254741
2256557536117 -1.623231 2.695515 -7.866405
2256577567628 -3.498905 1.823630 -5.262714
2256597589034 -2.921636 2.432005 -3.128316
2256617611950 -2.131108 2.434398 -2.392823
2256637633357 -0.550050 1.193420 -1.418046
2256657610961 2.535196 -1.240379 0.807578
2256677632367 5.843572 -3.868297 3.890430
2256697697784 10.167402 -4.593920 6.714859
2256717719190 15.612270 -2.050051 8.667103
2256737724294 19.516758 0.848555 8.664710
2256757745700 21.814167 3.531507 8.135298
2256777782471 19.538294 3.756732 8.226225
2256797803878 14.141283 1.698904 5.533701
2256817828513 11.882458 0.630509 1.715355
2256837849919 12.318550 2.154139 2.086541
2256857842055 13.159328 3.814159 4.051049
2256877863461 12.471691 3.708576 4.118048
2256897910648 10.747064 3.469294 2.391028
2256917932055 9.781560 3.457330 0.467199
2256937938825 9.652348 3.375674 -0.517149
2256957960232 9.688240 3.287140 -0.720838
2256977974086 9.908679 3.162414 0.179761
2256997995492 10.188938 3.011666 1.202693
2257018035909 10.389935 2.803192 1.715355
2257038057315 10.718349 2.623431 1.648356
2257058082159 10.864312 2.539682 1.188336
2257078103565 10.936097 2.499004 0.747458
2257098123357 10.790134 2.403291 0.694816
2257118144763 10.483554 2.283351 0.888934
2257138147523 10.282258 2.350350 1.154836
2257158168930 10.025927 2.412863 1.202693
2257178210544 9.848558 2.441576 0.747458
2257198231950 10.030712 2.714657 0.155833
2257218252055 9.908679 2.822334 -0.452543
2257238273461 9.541979 2.774478 -0.730409
2257258292992 9.221041 2.925525 -1.015454
2257278314398 9.034101 3.107379 -1.269392
2257298337680 8.090432 2.961417 -2.045564
2257318359034 6.037391 2.321636 -3.212065
2257338363096 3.450450 1.550250 -3.684050
2257358384450 0.434596 -0.746860 -4.376173
2257378408773 -3.345465 -3.999902 -3.130709
2257398430180 -8.757133 -10.338490 5.632106
2257418460805 -12.800704 -20.832811 28.980671
2257438482159 2.276472 -31.710882 62.967728
2257458469398 49.261639 -22.203300 76.056763
2257478490805 51.762436 -3.913760 20.723639
2257498538930 -2.880959 -8.663813 -22.989044
2257518560284 -13.066607 -3.887439 -0.677767
2257538588930 8.507083 7.234998 17.163717
2257558610284 7.103393 7.915158 2.149054
2257578620180 3.134299 7.138987 -8.858230
2257598641586 5.050651 5.728118 -3.449254
2257618663461 5.019544 2.108675 1.626820
2257638684867 2.995216 0.192024 3.234199
2257658652888 0.781855 -0.957727 3.634099
2257678674294 -0.595514 -1.460818 3.516851
2257698745128 -2.715555 -0.868894 0.589532
2257718766534 -7.940283 -3.163910 -9.244072
2257738788461 -10.687841 -14.202300 -10.899307
2257758809815 -1.594517 -36.391541 8.334201
2257778833773 16.563118 -43.551765 58.322960
2257798855180 38.697327 -22.004396 78.914391
2257818893461 37.758442 -32.187653 48.130131
2257838914867 -1.038784 -30.036505 0.223131
2257858893982 -10.520044 -16.051653 7.756634
2257878915336 7.285547 -5.010870 14.749060
2257898973930 9.954143 2.740978 1.188336
2257918995284 9.788738 8.348857 -7.698907
2257939005388 8.876176 10.511969 -8.692825
2257959026742 6.715457 8.365607 -6.848557
2257979037159 3.960720 5.083851 -4.809873
2257999058513 1.397408 3.198606 -2.706582
2258019091325 0.187837 2.760121 -0.124427
2258039112680 -0.078066 3.131308 2.311766
2258059130700 -0.274576 2.920739 3.404089
2258079152055 -1.366900 1.569692 5.049753
2258099187055 -2.190928 -0.112164 7.148259
2258119208409 -1.601696 -1.506282 8.772387
2258139223617 -0.068495 -2.634498 11.407483
2258159244919 0.765105 -3.700500 13.836497
2258179280180 0.573380 -3.372384 12.370594
2258199301482 1.720739 -2.955435 10.367802
2258219312055 5.158328 -1.966302 14.560027
2258239333357 6.866205 -1.067797 16.025930
2258259351586 5.623133 -0.993620 12.897614
2258279372940 5.256433 -0.545564 10.334302
2258299386013 5.730810 0.194417 10.085149
2258319407367 6.255436 0.913161 10.293624
2258339417367 5.668597 1.121636 9.510274
2258359438721 4.885247 0.999303 8.707781
2258379496898 4.614559 1.068994 8.329415
2258399518253 4.585845 0.989731 7.926823
2258419536794 5.187041 1.076172 8.008179
2258439558148 5.754738 1.133600 8.085049
2258459562575 5.979963 0.760020 8.367701
2258479583930 5.958427 0.352642 8.921041
2258499624190 6.025426 0.065204 9.481560
2258519645492 6.317650 0.062812 9.713963
2258539659503 7.232904 0.520439 9.258728
2258559680805 8.119146 1.157528 8.190332
2258579673305 8.799605 1.797010 6.482456
2258599694607 10.363614 3.052344 3.696313
2258619725232 12.438191 4.044169 1.499702
2258639746586 14.620445 4.717151 1.533201
2258659769294 14.445470 4.288537 2.603989
2258679790596 11.714662 3.521936 1.653141
2258699826846 8.638987 3.409174 -1.513759
2258719848200 6.341578 3.541078 -3.969095
2258739866742 5.108078 3.466901 -5.025526
2258759888044 5.129613 3.608078 -4.824230
2258779901846 5.445765 3.694219 -3.571587
2258799923200 5.769095 3.653541 -1.731805
2258819939190 6.585945 3.857230 -0.778266
2258839960544 6.643672 3.795017 -0.744766
2258859985857 5.079364 3.155236 -1.178465
2258880007211 2.252543 1.921736 -1.863411
2258900035492 -0.643370 -0.706182 -2.359323
2258920056846 -2.955136 -6.136693 0.088834
2258940087471 -3.688237 -12.769897 8.906684
2258960108721 -0.339183 -18.571594 23.674587
2258980115805 10.167402 -20.293827 42.876987
2259000137107 26.281567 -19.575382 55.481781
2259020142992 39.864124 -13.347165 43.058842
2259040164294 28.480572 -4.191627 5.440382
2259060221117 -1.031606 -3.317349 -9.955338
2259080242367 -4.016353 -2.531606 9.143872
2259100263253 6.983752 2.870191 14.430515
2259120284503 8.588737 4.884947 1.696212
2259140292992 7.551449 4.626224 -1.350748
2259160314294 6.487840 -0.006580 7.402197
2259180349138 1.797608 -2.033301 14.040186
2259200370388 -2.432902 -1.630709 10.770393
2259220368357 -4.394718 -2.950649 2.857928
2259240389607 -7.734201 -3.698107 -1.379462
2259260410440 -13.073785 -2.926721 -6.148956
2259280431742 -18.058632 -7.662715 -12.509079
2259300456325 -10.671092 -22.409082 -3.607479
2259320477628 8.591130 -41.369511 18.622740
2259340492784 29.273493 -33.921852 63.684078
2259360514034 34.850266 -25.969006 75.675705
2259380551169 27.493832 -35.610584 42.512680
2259400572419 4.217051 -31.576586 18.555742
2259420596482 -3.597011 -24.873989 14.023437
2259440617836 10.128819 -13.934005 14.013865
2259460642419 17.660227 -1.077368 4.175476
2259480663721 19.121643 7.675577 -8.654540
2259500674346 19.011274 11.836696 -11.622538
2259520695596 14.462519 9.005089 -10.499107
2259540711846 7.568199 5.471787 -8.166105
2259560733148 2.211865 3.093022 -3.731906
2259580770909 -0.909273 1.931307 -0.212961
2259600792107 -2.557628 2.038984 0.850648
2259620794555 -2.722733 2.228316 1.459024
2259640815805 -3.403192 1.150349 3.868895
2259660838200 -3.108576 -0.507278 8.583354
2259680859503 -2.842673 -2.191227 12.511770
2259700877471 -2.471188 -2.636891 13.228122
2259720898721 -1.613660 -2.519642 10.971391
2259740929971 -0.257827 -2.349453 11.723635
2259760951325 0.606880 -2.490629 13.472488
2259780980961 0.539881 -2.603391 11.752348
2259801002211 1.438086 -1.336092 8.817850
2259820990284 5.632705 -0.004187 8.755637
2259841011586 10.227223 1.004088 12.674782
2259861055388 10.068997 0.721436 12.066108
2259881076690 9.403194 1.198206 8.461020
2259901103461 9.887143 2.240280 6.139684
2259921124763 10.229616 2.891726 5.813961
2259941129138 9.403194 2.549253 6.235696
2259961150388 8.658130 2.099104 6.846464
2259981183617 8.770593 2.436791 6.734001
2260001204867 8.857033 3.157629 5.368597
2260021236690 9.002995 3.272783 4.043870
2260041258096 8.916854 3.346961 2.232803
2260061264919 8.945567 3.498008 0.838684
2260081286325 9.949356 3.624827 0.733101
2260101299190 11.180464 3.766303 1.236192
2260121320544 11.638091 3.900301 1.734497
2260141338825 10.861919 3.778267 1.576571
2260161360180 10.483554 3.838088 0.345165
2260181381950 10.440483 3.847659 -0.308674
2260201403305 9.985249 3.847659 -0.100499
2260221439815 9.635597 3.974478 -0.098106
2260241461221 9.577870 4.087240 -0.893420
2260261501742 9.693026 4.190132 -1.580758
2260281523096 9.177970 4.094419 -2.045564
2260301518044 8.998210 4.068098 -1.887339
2260321539450 9.026923 4.118347 -1.231107
2260341575336 8.303693 3.862016 -0.917348
2260361596742 7.268797 3.567400 -1.058525
2260381585648 6.593124 3.313461 -1.137488
2260401607003 5.874679 2.968596 -0.991526
2260421653513 5.088935 2.597110 -0.581755
2260441674919 4.808676 2.338386 -0.421436
2260461695857 4.861318 2.154139 -0.742373
2260481717263 4.683950 1.691726 -0.864407
2260501748982 3.809673 1.061815 -0.500399
2260521770388 1.914856 -0.502493 -0.378365
2260541780596 -1.323829 -4.534100 -0.344866
2260561801950 -3.192324 -13.057334 4.422235
2260581811950 1.543670 -23.365015 25.490440
2260601833357 11.367403 -26.421547 64.005013
2260621865180 35.679081 -24.383162 74.868431
2260641886586 39.157345 -13.172190 27.131319
2260661906534 1.543670 -6.773782 -13.057633
2260681927940 -7.267003 -2.188834 -0.763909
2260701965596 8.085647 5.773582 10.724631
2260721987003 11.274083 9.474680 3.061617
2260742002471 8.845069 7.563114 -3.739084
2260762023878 9.340981 0.879661 3.854538
2260782041065 4.518846 -3.190231 15.252151
2260802062471 -0.355932 -0.876371 13.383656
2260822084138 -4.215256 -1.870290 -0.081356
2260842105544 -7.631011 -3.623930 -7.200602
2260862107107 -13.088141 -3.865904 -9.004491
2260882128461 -28.179674 -13.083655 -12.827623
2260902152680 -29.437103 -34.003204 -3.054139
2260922174034 -6.234499 -67.120766 24.687948
2260942224763 32.083565 -69.298241 69.919472
2260962246117 55.108799 -35.158043 78.914391
2260982205961 43.591248 -32.062927 39.592541
2261002227315 0.096610 -28.244579 -8.424829
2261022296794 -19.507786 -19.240089 4.065406
2261042318148 2.691028 -11.605489 18.675383
2261062318878 14.531911 -1.920539 12.842279
2261082340232 10.047462 3.771089 -2.431108
2261102397523 3.943970 5.816653 -9.512367
2261122418878 3.071786 6.145068 -5.190929
2261142433409 2.707778 5.067101 -0.704088
2261162454763 0.192622 3.766303 -0.265603
2261182451325 -1.948954 2.906382 -1.307678
2261202472628 -2.658127 2.484647 -0.929312
2261222525596 -2.358725 2.245066 1.229014
2261242546950 -2.361118 1.143171 3.813860
2261262566482 -2.842673 -0.490529 7.457232
2261282587836 -3.733701 -2.083550 10.796715
2261302575492 -3.980460 -2.945864 12.499806
