time gx gy gz
2125657353975 -2.028736 3.609010 -0.678553
2125677367204 -0.897459 1.552977 -1.326215
2125697388297 0.964702 -0.820363 -1.843918
2125717452308 -0.037683 -0.615838 -1.762961
2125737473402 -1.274551 0.407851 -1.278280
2125757468350 -1.098788 0.701855 -0.786142
2125777489443 -0.221968 0.144739 -0.655118
2125797516162 0.432085 -0.439009 -0.806381
2125817537204 0.452325 -0.241941 -0.831947
2125837548975 0.126363 0.173500 -0.610379
2125857570016 -0.123966 0.465374 -0.255656
2125877612256 -0.248599 0.445134 0.011718
2125897633245 -0.213446 0.288545 -0.002130
2125917638922 -0.102662 0.178826 -0.147002
2125937659964 -0.066444 0.156456 -0.209851
2125957668506 -0.104792 0.222501 -0.145937
2125977689547 -0.134619 0.222501 -0.056457
2125997730329 -0.128227 0.254458 -0.035153
2126017751318 -0.064313 0.333285 -0.057523
2126037776787 0.044340 0.382286 -0.064979
2126057797829 0.156190 0.437678 -0.043675
2126077829079 0.191342 0.430221 -0.051131
2126097850068 0.213712 0.352459 -0.073501
2126117836839 0.180690 0.374829 -0.078827
2126137857881 0.052862 0.443004 -0.091610
2126157902308 -0.136749 0.500526 -0.094806
2126177923297 -0.303991 0.686942 -0.185351
2126197940850 -0.315708 0.781748 -0.433550
2126217961839 -0.223033 0.852053 -0.737141
2126237970016 -0.221968 1.034208 -1.014102
2126257991006 -0.294404 1.095992 -1.507305
2126278029600 -0.262447 1.070426 -2.197576
2126298050641 -0.185750 1.279212 -2.715279
2126318075850 -0.045139 1.558303 -3.115807
2126338096839 0.306388 1.350582 -3.653749
2126358131631 0.948723 0.714638 -4.515523
2126378152620 1.664560 0.155391 -5.486083
2126398137464 2.164154 -0.372965 -6.194463
2126418158454 2.434723 -1.153780 -6.811233
2126438182412 2.587052 -2.239253 -7.569679
2126458203402 2.505029 -3.308880 -8.382452
2126478215537 1.987325 -3.864932 -8.840502
2126498236579 1.074421 -3.633776 -8.730783
2126518265068 -0.220903 -3.567732 -8.410148
2126538286058 -1.854038 -2.838047 -6.315900
2126558313193 -1.995714 0.360981 0.643534
2126578334235 0.656849 1.997179 10.457792
2126598365068 3.164408 2.698235 18.210691
2126618386058 2.766011 4.546414 22.289602
2126638408714 -3.004490 8.862872 24.201828
2126658429704 -12.666420 10.666311 19.680845
2126678424339 -12.776138 -1.671484 8.321867
2126698445381 -0.760044 -5.084623 -0.525160
2126718493714 4.688890 -0.549793 -3.607944
2126738514704 1.467492 0.240610 -4.159735
2126758529131 0.339410 1.518889 -4.114995
2126778550120 2.191850 1.165232 -5.673564
2126798568766 3.408346 -0.933277 -8.675391
2126818589808 3.113277 -2.896635 -11.208648
2126838608506 2.054435 -3.496361 -12.095987
2126858629547 0.776155 -3.111812 -11.588937
2126878660537 -0.191076 -2.794373 -10.834751
2126898681527 -0.538342 -2.687849 -10.715446
2126918705120 0.190277 -1.786529 -7.647441
2126938726162 2.170545 0.321567 2.261623
2126958726995 4.640954 1.682935 14.276786
2126978748037 5.820167 3.147763 21.970032
2126998804183 2.960948 5.901391 23.269615
2127018825172 -1.356574 2.381861 14.379048
2127038833662 -0.168706 -3.078790 3.062678
2127058854652 1.563363 -1.081345 -1.463630
2127078888402 -0.370035 1.812894 -1.580806
2127098909443 -1.408771 2.094115 -1.461500
2127118910850 -0.617169 1.083209 -1.940855
2127138931943 -0.393470 0.182022 -2.176271
2127158977464 -0.543668 -0.170570 -1.535001
2127178998506 -0.102662 -0.171636 -0.629553
2127199003141 0.650458 -0.246202 -0.072436
2127219024183 1.033942 -0.417704 0.096936
2127239038141 0.845396 -0.439009 0.099067
2127259059183 0.263778 0.022237 -0.005326
2127279107933 -0.348731 0.742334 -0.122502
2127299128975 -0.599060 0.882945 -0.167242
2127319140329 -0.394536 0.514374 -0.306787
2127339161370 -0.121836 0.194804 -0.429289
2127359178454 -0.017443 0.175630 -0.417571
2127379199495 -0.073901 0.368437 -0.286548
2127399226266 -0.171902 0.509048 -0.089480
2127419247308 -0.128227 0.350329 0.026631
2127439267881 0.112515 -0.048069 -0.056457
2127459288922 0.388411 -0.300529 -0.236482
2127479317829 0.588674 -0.264311 -0.443137
2127499338870 0.678154 -0.231289 -0.615705
2127519351475 0.619566 -0.183353 -0.611444
2127539372464 0.396932 -0.021438 -0.456985
2127559394079 0.077363 0.158587 -0.373897
2127579415016 -0.216642 0.210783 -0.435680
2127599417360 -0.362579 0.256588 -0.543269
2127619438350 -0.459515 0.464308 -0.595465
2127639494964 -0.602256 0.611311 -0.729685
2127659516006 -0.751522 0.649659 -1.010906
2127679485225 -0.864437 0.725291 -1.285736
2127699506266 -0.901720 0.854184 -1.489196
2127719536058 -0.937938 0.996925 -1.580806
2127739557047 -1.035939 1.138601 -1.619154
2127759624235 -1.123288 1.349517 -1.946181
2127779645277 -1.082809 1.611564 -2.654561
2127799656475 -0.822892 1.587064 -3.539769
2127819677672 -0.263512 1.183341 -4.547613
2127839690172 0.580153 0.803053 -5.888741
2127859711370 1.571885 0.171369 -7.440786
2127879731787 2.409158 -0.800123 -8.612542
2127899752933 2.702097 -1.768420 -8.955547
2127919761422 2.321809 -2.459756 -8.618934
2127939782568 1.608102 -2.715545 -8.189645
2127959806422 0.669632 -3.055355 -7.926532
2127979827568 -1.182941 -2.019815 -5.822697
2127999879391 -2.189586 0.569767 1.315696
2128019900485 -0.318904 1.570020 10.909451
2128039898766 1.422752 1.881068 18.272474
2128059919912 0.462977 3.623923 22.568693
2128079936266 -5.177565 7.658093 23.344183
2128099957464 -13.215014 6.878343 16.445601
2128119921839 -11.538338 -3.551753 5.842004
2128139943037 -1.472685 -1.996380 -0.191742
2128160047100 4.871044 0.220370 -3.622858
2128180068245 5.597533 -1.933531 -6.470358
2128200080954 4.780499 -0.767101 -7.385394
2128220102100 4.937089 -0.431553 -8.850089
2128240103245 5.263050 -2.397973 -11.233149
2128260124391 4.362928 -3.977846 -12.245120
2128280144495 2.247242 -4.215394 -11.745525
2128300165641 -0.028096 -3.743495 -10.749533
2128320175381 -1.920083 -3.693429 -9.766323
2128340196527 -2.500634 -2.363885 -5.792871
2128360251579 -0.575625 0.698660 3.807276
2128380272725 2.438984 2.611951 14.594225
2128400282047 2.709553 4.399412 22.532475
2128420303193 -1.299052 6.900712 25.276648
2128440332412 -4.902735 4.299281 16.941999
2128460353558 -3.129122 -1.847247 3.365204
2128480361475 1.534601 -2.835917 -2.468145
2128500382620 2.964144 -0.718100 -2.049508
2128520392464 1.213966 0.999055 -1.377346
2128540413610 0.028362 0.642202 -1.646850
2128560442360 0.143407 -0.355921 -1.789591
2128580463558 0.139146 -0.650991 -0.974688
2128600483454 -0.136749 -0.404922 0.251528
2128620504600 -0.316774 0.016911 0.880016
2128640525797 -0.228359 -0.134353 0.627555
2128660546943 0.172168 -0.595598 0.090545
2128680581318 0.390541 -0.524228 -0.176829
2128700602516 0.115711 0.019041 -0.117176
2128720614912 -0.296534 0.592136 0.039414
2128740636110 -0.416906 0.743400 -0.061784
2128760662256 -0.046204 0.359916 -0.411180
2128780683402 0.404389 -0.011851 -0.662575
2128800698454 0.484282 0.011584 -0.665771
2128820719600 0.240343 0.182022 -0.435680
2128840758610 -0.028096 0.207587 -0.214112
2128860779756 -0.128227 0.221435 -0.145937
2128880795954 -0.105858 0.251262 -0.235417
2128900817100 -0.007856 0.211848 -0.298265
2128920811735 0.060319 0.008389 -0.333418
2128940832777 0.020905 -0.005459 -0.403723
2128960864860 -0.090944 0.254458 -0.470833
2128980885954 -0.226229 0.498396 -0.536877
2129000908558 -0.315708 0.627289 -0.652988
2129020929704 -0.330622 0.667768 -0.923557
2129040950433 -0.382818 0.921293 -1.202648
2129060971475 -0.676822 1.372952 -1.758700
2129080985068 -0.772827 1.323951 -2.767475
2129101006162 -0.311448 0.991599 -3.796490
2129121040277 0.325562 0.859510 -4.535762
2129141061370 0.824091 0.872293 -5.002468
2129161076839 1.110639 0.754052 -5.384886
2129181097881 1.284272 0.401460 -5.859980
2129201129912 1.478144 -0.183353 -6.453315
2129221151058 1.730604 -0.959908 -6.902843
2129241165225 1.780670 -1.570287 -7.170217
2129261186370 1.484535 -1.797181 -7.032802
2129281202464 1.109573 -1.888791 -6.561969
2129301223506 0.863505 -2.131665 -6.323356
2129321265068 0.485347 -2.647370 -6.129484
2129341286162 0.199864 -2.011293 -3.705946
2129361288975 1.189466 0.232088 2.948698
2129381310120 3.039776 1.921547 11.693462
2129401317568 3.679981 3.303288 18.816942
2129421338662 0.798525 6.745056 22.609171
2129441364964 -6.238670 10.199739 21.690941
2129461386110 -10.281363 2.489450 14.087174
2129481414391 -3.646825 -7.221614 5.521369
2129501435537 1.788127 -1.972945 0.319703
2129521447881 -0.314643 1.676544 -2.140053
2129541469027 -0.594800 1.579607 -3.864666
2129561500172 1.959629 0.641137 -5.168644
2129581521214 2.726597 -0.453922 -7.511091
2129601554131 2.091718 -1.938857 -10.305330
2129621575277 1.382273 -2.520474 -11.890397
2129641597568 0.465107 -2.402234 -11.914898
2129661618714 -0.444602 -2.342581 -11.240605
2129681627100 -0.896394 -2.383060 -10.737815
2129701648193 -0.542603 -2.440582 -9.643821
2129721680433 0.565239 -1.288000 -5.019511
2129741701579 2.480528 0.680551 2.939111
2129761712360 4.203143 2.300903 11.579482
2129781733402 4.026315 3.980776 18.688980
2129801752256 0.688806 6.722686 24.497963
2129821773350 -4.607666 7.289523 24.047369
2129841788610 -6.949181 0.526092 9.127183
2129861809652 -2.056432 -4.204741 -3.623923
2129881835537 3.544696 -2.682523 -3.046566
2129901856683 2.244046 0.707182 -0.396267
2129921891943 0.905049 1.926873 -0.535812
2129941913037 2.392114 -0.394269 -1.997312
2129961943714 2.383592 -1.742854 -3.426855
2129981964860 0.573761 -1.248586 -3.437507
2130001975537 -1.113701 -0.121570 -2.272142
2130021996683 -1.803972 0.855249 -1.226083
2130042005225 -1.473750 0.836075 -0.727554
2130062026318 -0.669366 0.204392 -0.686010
2130082051110 -0.006791 -0.238745 -0.791468
2130102072204 0.076297 -0.072569 -0.825556
2130122093037 -0.187880 0.391873 -0.683880
2130142114131 -0.299730 0.697594 -0.463376
2130162145641 -0.171902 0.708247 -0.343005
2130182166787 0.085884 0.559114 -0.237547
2130202187100 0.319170 0.356720 -0.102262
2130222208245 0.353258 0.289610 0.024500
2130242217412 0.220104 0.340741 0.046870
2130262238506 0.047536 0.369503 0.054327
2130282263922 0.002796 0.354589 0.143940
2130302285068 0.001731 0.334350 0.272833
2130322303402 -0.034487 0.350329 0.424096
2130342324443 -0.064313 0.401460 0.469901
2130362356058 -0.130358 0.396134 0.360182
2130382377152 -0.147402 0.443004 0.176962
2130402384704 -0.163380 0.583615 -0.112915
2130422405797 -0.151663 0.485613 -0.678553
2130442427777 -0.047270 0.434482 -1.481739
2130462448870 -0.116510 0.826488 -2.047378
2130482470381 -0.294404 1.272820 -2.474536
2130502491527 -0.315708 1.483736 -3.185047
2130522516422 -0.018508 1.428344 -4.045755
2130542537464 0.545000 1.082144 -4.664789
2130562547881 1.089334 0.703986 -5.102599
2130582568975 1.419556 0.020106 -5.430691
2130602587933 1.382273 -0.774558 -5.611781
2130622609079 0.993463 -0.843798 -5.637346
2130642626162 0.660045 -0.989735 -5.495670
2130662647308 0.580153 -1.569221 -5.206992
2130682671110 0.614240 -1.961227 -4.836291
2130702692256 0.603588 -2.099707 -4.541089
2130722725641 0.592935 -2.254166 -4.412195
2130742746683 0.629153 -2.587717 -4.320585
2130762765850 0.607849 -2.021945 -2.821802
2130782786891 1.304511 0.074433 2.885849
2130802793714 2.597704 2.228467 11.797855
2130822814756 2.633922 4.777570 19.695759
2130842846422 -1.392792 9.329444 24.589573
2130862867464 -9.390695 10.735552 21.538612
2130882909652 -10.033163 -0.065112 8.917332
2130902930693 -0.854850 -4.746944 -1.226083
2130922957516 4.097685 -0.904516 -3.802882
2130942978558 2.190785 1.175884 -3.645227
2130962964756 0.712241 1.473084 -3.440703
2130982985745 1.633668 1.281342 -4.956662
2131003005954 2.846968 -0.527424 -7.593114
2131023026995 3.170799 -2.583456 -9.674712
2131043030641 2.536986 -3.404751 -10.605726
2131063051683 1.358838 -3.394099 -10.271243
2131083126683 0.220104 -2.930722 -9.564994
2131103147672 -0.341274 -2.163621 -9.374317
2131123134079 -0.450993 -2.654827 -9.611864
2131143155120 0.133820 -3.778648 -7.229870
2131163173662 1.659234 -1.900509 1.734333
2131183194704 3.657611 2.157097 13.848429
2131203225225 3.962400 5.845999 22.382277
2131223246266 0.638740 9.271921 24.561876
2131243263922 -2.125673 4.447348 14.548420
2131263285016 -0.822892 -5.049471 0.562576
2131283341266 1.311968 -3.120334 -0.704119
2131303362308 0.180690 2.931521 1.525547
2131323382725 -1.987192 2.827128 0.000000
2131343403766 -0.827153 0.128760 -1.831136
2131363405797 0.722894 -0.957778 -1.703308
2131383426839 0.297866 -0.331421 -0.817034
2131403466266 -0.367905 -0.029960 -0.205590
2131423487308 -0.101597 -0.352725 -0.154459
2131443484443 0.515173 -0.488010 -0.256721
2131463505485 0.755916 -0.346334 -0.300396
2131483525537 0.714372 -0.188679 -0.287613
2131503546579 0.513043 -0.185484 -0.205590
2131523571266 0.306388 0.127695 -0.238612
2131543592256 0.148733 0.316241 -0.252460
2131563610068 0.004927 0.362046 -0.259917
2131583631058 -0.040878 0.431286 -0.235417
2131603646058 0.011318 0.267240 -0.159785
2131623667100 0.018775 0.054194 -0.060718
2131643707620 -0.144206 0.150065 0.013848
2131663728610 -0.303991 0.251262 -0.006391
2131683750485 -0.338078 0.224631 -0.165111
2131703771527 -0.314643 0.455787 -0.328092
