ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,target
-13.225420,-80.159096,-10.638997,-1.142229,8.553401,26.502028,65.049835,-75.411148,-12.997261,-8.487222,10.841588,25.038357,125.587563,-21.643421,20.504618,-10.563420,1.644101,8.567249,76.070137,-3.025648,57.728558,-3.732950,-4.975447,-4.497144,17.755978,4.222099,34.180511,2.546779,-2.738393,-4.408727,11.343132,6.389077,6.358130,2.213351,-0.116780,-2.129063,14.191382,8.917835,4.429818,-0.039681,1.592969,-2.031058,15.346625,8.789603,8.342113,0.154197,1.733583,-2.984469,14.578997,5.150440,5.019573,1.481515,1.026248,-4.246807,11.213908,0.082930,-0.998520,2.107890,0.371111,-5.372790,0
-3.690432,-15.949461,-1.138370,1.641305,-0.888030,-5.151216,-2.980136,-18.535439,-0.677827,1.741440,-1.558081,-5.332310,-0.646498,-23.193695,1.135193,1.977928,-2.777808,-6.036449,0.110490,-32.181564,3.481444,2.477537,-4.386356,-7.140063,-14.830903,-39.126648,6.644079,2.473276,-3.912314,-6.948315,-61.320637,-31.734169,15.635530,2.486059,2.402569,0.220909,-72.051262,-45.106377,7.943104,2.121739,4.663058,14.760693,-32.808846,-78.932373,-3.207736,-1.132642,6.835131,26.672470,56.351574,-94.360985,5.350899,-5.197688,10.673276,29.360130,144.577652,-20.587362,18.542532,-5.470395,4.935766,12.504464,0
-1.323742,-18.231892,0.478798,0.561128,-1.931989,-4.859333,-0.388237,-27.084618,1.725629,0.617587,-2.788461,-5.413270,-7.184555,-38.577744,6.901085,1.006408,-3.602322,-5.763742,-38.123501,-43.153946,16.811871,2.190981,-0.796418,-2.338919,-67.765205,-45.121937,18.635118,4.147871,3.150384,8.576837,-43.464466,-69.198212,0.105910,3.335074,5.575989,21.005268,4.369670,-90.696999,-15.570492,-2.996853,11.193125,28.245865,86.072601,-70.196404,-5.917254,-10.823345,11.229343,22.989855,115.606049,-16.706827,34.859253,-10.861694,1.897634,5.583446,54.734871,1.720944,60.560207,-2.292714,-3.405248,-3.757851,0
10.212151,-7.245816,-4.173671,2.426404,-1.281113,-7.892139,2.767546,-11.849754,-3.471372,1.457014,-1.038233,-8.209587,-0.637013,-14.353801,-1.634866,0.849814,-0.859268,-7.917705,-1.880981,-16.953459,-0.508804,0.660197,-0.892291,-7.470294,-1.387255,-19.563974,0.492740,0.739027,-1.089365,-7.121953,-1.309753,-23.249832,1.094054,1.100151,-1.455816,-7.074017,-0.810749,-28.675900,1.456506,1.629587,-2.621214,-7.340333,-0.025210,-37.640335,3.531018,1.771267,-4.563190,-8.145672,-17.709917,-44.146347,8.035620,1.536909,-3.002579,-7.162433,-50.394356,-34.994236,20.498104,2.516952,1.343697,-0.440620,0
46.999054,-5.405091,39.220230,1.306812,-5.619932,-8.122236,-12.166702,2.781427,17.501810,4.162784,-4.596213,-5.044689,-10.337176,7.732692,0.149953,2.726809,0.834501,0.348741,-2.241420,9.653045,-2.019637,1.370728,3.076881,1.954093,7.389041,6.663640,-2.193293,1.686046,0.621448,1.252084,9.563267,3.899665,-4.584683,1.866076,-1.669934,-0.814527,1.033549,1.685925,-5.931467,1.053279,-1.429184,-1.833984,-5.832916,0.856496,-4.718959,-0.130228,-0.079495,-1.218262,-5.800339,0.543349,-1.532821,-0.806671,0.729040,-0.321310,-3.188043,0.435385,0.895134,-0.715058,0.767389,-0.082691,0
-2.348019,-19.802723,0.385835,0.194677,-2.826810,-6.247372,-1.017725,-29.119740,1.169236,-0.343281,-3.608714,-6.806635,-9.859003,-41.257168,6.562295,-0.972852,-3.183674,-6.960033,-45.621166,-42.959282,21.356625,-0.210123,0.374307,-2.529602,-67.013695,-47.434444,24.592075,2.477537,3.248388,8.683363,-39.306980,-69.132881,9.371830,3.226417,5.356545,19.460636,-4.146446,-82.389778,-7.212049,-0.439155,10.245040,25.485767,55.179657,-72.015419,-11.041756,-7.963112,12.673841,24.169102,114.967163,-25.883247,20.662317,-10.202296,3.221757,10.327065,81.035660,-5.126424,50.988758,-4.247472,-4.577038,-2.245176,0
13.445827,-4.488670,-5.703609,3.117760,-0.914662,-6.965360,8.462388,-9.720805,-6.385373,1.669002,-0.620649,-7.907053,2.556406,-14.397218,-3.587922,0.686829,-0.118910,-8.162716,-1.693059,-17.157749,-1.314604,0.462058,-0.254199,-7.850594,-2.018964,-19.142651,0.301223,0.648479,-0.837963,-7.485208,-1.609772,-21.714767,1.149805,1.015995,-1.087235,-7.339267,-1.734232,-25.347534,1.243329,1.532648,-1.653955,-7.399987,2.811976,-30.343996,0.854442,1.778724,-3.060103,-8.030623,8.537665,-40.686142,1.624043,1.452753,-4.357594,-9.547559,-3.257819,-46.557682,3.728451,1.072454,-3.744002,-9.719066,0
134.538361,-23.954338,-4.029723,-9.591900,5.491834,13.113795,85.581932,-3.897826,33.979221,-8.316779,-1.069125,-3.274221,3.898233,6.048962,50.905552,-0.970721,-2.467816,-4.631367,-0.493644,4.912517,27.202803,4.441883,-1.633715,-0.350072,3.550541,7.974001,2.063463,5.197155,0.250736,0.118644,4.588672,6.902078,-8.616751,3.903925,-0.372443,-0.502405,3.404861,3.761769,-12.019210,2.035453,-1.096822,-1.287504,-1.899771,2.025362,-9.219622,-0.058856,-0.331963,-1.512275,-6.043776,0.042735,-3.862854,-1.456482,0.562859,-1.077647,-7.387213,-0.627531,1.427518,-1.645033,0.925048,-0.457664,0
14.804481,3.930211,2.654491,-0.970721,0.775911,-3.307244,12.158821,2.982818,4.209877,-0.804540,1.075251,-4.180760,9.193242,1.988295,5.835158,-0.215450,1.225453,-4.589821,7.385271,-0.391715,5.369402,0.756071,1.208408,-4.991426,5.456850,-3.796994,3.457394,1.692438,0.839827,-5.537906,3.405977,-7.390440,1.742561,2.396577,-0.007057,-6.191978,0.846411,-10.890262,0.578854,2.750244,-0.977513,-6.716088,-0.840111,-13.646633,0.255046,2.810964,-1.894705,-6.931271,-1.755328,-15.585382,0.239592,2.581933,-2.541320,-6.882269,-1.581679,-17.316158,0.190052,2.061019,-2.625475,-6.589322,0
-43.897812,-76.940765,10.360054,3.976363,6.091577,22.051357,3.168347,-103.952232,-10.460190,-1.472461,12.347870,30.095163,70.181648,-90.472092,-12.844858,-11.513636,15.459505,27.338261,126.484398,-38.346241,32.724754,-15.272951,2.805239,10.582728,74.646675,-7.770850,78.842354,-4.792887,-1.630519,-4.059320,18.428295,-0.026522,42.550564,4.673045,-3.926162,-3.457446,21.171623,3.058627,6.180604,5.296225,-2.654238,-2.376204,13.596066,8.959633,-7.327198,1.099086,0.504269,-2.940794,11.677122,9.837054,3.709597,-1.080444,1.634514,-3.180478,12.962988,8.099177,9.312140,0.041279,1.663276,-4.034819,0
